"callret-0"	"callret-1"	"callret-2"	"callret-3"	"callret-4"
"Logical and chronological sequence of enterprise functions which interpret or update data about entities. Different from business processes, information processes do not contain the conditions under which enterprise functions are performed."	"3LGM² Information Process"	"entity type"	"software product"	"UML Class"
"The X contains all clinical data about a patient, including medical and nursing anamnesis, finding discharge summery etc."	"Patient History"	"Activity"	"Diagnosis"	"Finding"
" diverse software products from different manufacturers lead to very heterogeneous (DB  n  , AC  n  , V  n  ) architectures. At the physical tool layer, heterogeneity is often the consequence of the evolution of the HIS, comprising different generations of computer systems."	"Heterogeneous Architecture"	"HIS Architecture"	"Architecture of an Information System"	"Computer-Based Tool"
"Change of the storage media during the transcription of data."	"Media Crack"	"entity type"	"software product"	"Information Management Entity Type"
"X typically comprises the introduction of the patient to the ward and nursing history and is done by the responsible nurse. For the nursing history there may be computer-based or department-specific, (semi-)standardized data entry forms available. These may contain information about the current diagnoses and therapy, orientation, mobility etc. The information should be available during the whole stay."	"Nursing Admission"	"Bed"	"Case"	"Diagnosis"
"Directing means the sum of all management activities that are necessary to ensure proper responses to operating problems of components of the hospital information system, that is, to provide backup facilities, to operate a service desk, to maintain servers, and to keep task forces available for repairing network components, servers, personal computers, printers, etc. Directing in this context deals with engaging the resources planned by the strategic information management plan in such a way that faultless operation of the hospital information system is ensured."	"Operational HIS Directing"	"Function"	"Information Management"	"Information Management"
"For the hospital as an enterprise, the hospital information system should typically contribute to high quality patient care, efficient usage of resources, and fulfillment of legal requirements as general goals of all hospitals."	"Fulfillment of Strategic Hospital Goal"	"HIS Quality"	"Management Entity Type"	"Quality of HIS Outcome"
"Comprises the mere correctness (e.g., correct diagnosis ), object identity (e.g., correct identification of every patient by a unique patient identification number), referential integrity (e.g., each clinical report can uniquely be linked to a patient ), and consistency of redundant data (e.g., the name of a patient is not spelled differently in different databases)."	"Integrity of Data"	"Integrity"	"entity type"	"Integrity"
"Correct assignment of entities, for example the assignment of cases to a certain patient, or of results to a case. A precondition is object identity. X is an important condition for integrity within health information systems."	"Referential Integrity"	"Integrity"	"Integrity of Data"	"Object Identity"
"Must be managed according to its occupation"	"Bed"	"Resource"	"Resource"	"Administrative Entity Type"
"X is a specific determination about entities such as facts, events, things, persons, processes, ideas, or concepts."	"Information"	"Data"	"entity type"	"Data"
"X describes the process that balances and coordinates the hospital goals and the information management strategies to get the best result for the hospital. The process that balances and coordinates the hospital goals and the information management strategies to get the best result for the hospital. Important task of strategic information management."	"Strategic Alignment"	"Model"	"Function"	"Information Management"
"X assures a defined quality of all processes and outcomes of the hospital"	"Internal Quality Management"	"Activity"	"Complaint"	"Diagnosis"
"An information system that comprises (among others) computer-based information processing tools."	"Computer-Based Information System"	"top class"	"entity type"	"Function"
"An information system that comprises computer-based information processing and communication tools is called a computer-based information system."	"Computer-Supported Information System"	"entity type"	"software product"	"Computer-Based Tool"
"A X contains all available orders"	"Service Catalog"	"entity type"	"Hospital Service"	"Management Entity Type"
"X stands for a patient accounting message"	"BAR"	"HL7 Message Type"	"Information Management Entity Type"	"Message Type"
"Transaction management in databases but also in sets of distributed databases ensures that every update of data, which are consistent, will lead to another state in which data are consistent again."	"Transaction Management Technology"	"ACID"	"Information Management"	"Information Management Entity Type"
"The information system of a health care network is called a X"	"Transinstitutional Health Information System"	"Hospital"	"Model"	"Pharmacy"
"The X is based on trained observers that measure the duration of observed events (e.g., tasks) while using a predefined list of event categories"	"Time-Motion Analysis"	"Quantitative Evaluation Method"	"Time Measurement"	"Time Measurement"
"Is an aggregation of procedures with similar properties"	"Procedure Class"	"Procedure"	"entity type"	"Patient Care Entity Type"
