"callret-0"	"c1l"	"c2l"	"c3l"	"c4l"
"What increases Transparency?"	"HIS Certification"	"Information Management"	"Certification by CCHIT"	"Certification by EuroRec"
"What increases Transparency?"	"HIS Certification"	"Information Management Function"	"Certification by CCHIT"	"Certification by EuroRec"
"What increases Transparency?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Certification by ISO"
"What increases HIS Quality?"	"HIS Certification"	"Information Management"	"Certification by CCHIT"	"Certification by EuroRec"
"What increases HIS Quality?"	"HIS Certification"	"Information Management Function"	"Certification by CCHIT"	"Certification by EuroRec"
"What increases HIS Quality?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Certification by ISO"
"What increases Access Integration?"	"SOA"	"SOA Service"	"3LGM²-S"	"CP1 Style"
"What increases Access Integration?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"DB1 Style"
"What increases Access Integration?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"Data Integration"
"What increases Access Integration?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"Functional Integration"
"What increases Data Integration?"	"SOA"	"SOA Service"	"3LGM²-S"	"Access Integration"
"What increases Data Integration?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"DB1 Style"
"What increases Data Integration?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"Functional Integration"
"What increases Functional Integration?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"DB1 Style"
"What increases Functional Integration?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"Data Integration"
"What is based on Metamodel?"	"Model"	"Business Process Model"	"Business Reference Model"	"Data Reference Model"
"What is based on Metamodel?"	"Model"	"Business Process Model"	"Business Reference Model"	"Health Information System"
"What is based on UML Class Diagram?"	"3LGM²"	"Transparency"	"3LGM²-B"	"3LGM² Domain Layer"
"What is based on UML Class Diagram?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Interlayer Relationship"
"What is based on UML Class Diagram?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Logical Tool Layer"
"What is based on UML Class Diagram?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Physical Tool Layer"
